STATE_FISCAL_YEAR,COUNTY_NAME,PROVIDER_TYPE,FAC_FDR,COUNT
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,428
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,3147
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,3080
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,15
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,2896
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,28
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,3
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,124
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,889
SFY2022-23,1_CALIFORNIA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,264
SFY2022-23,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,8
SFY2022-23,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,1016
SFY2022-23,1_CALIFORNIA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,23
SFY2022-23,1_CALIFORNIA,LONG-TERM CARE,SKILLED NURSING FACILITY,1195
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,125
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,321
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,9
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,10
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,767
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,21
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,429
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,3516
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,3033
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,15
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,3065
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,26
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,3
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,101
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,894
SFY2023-24,1_CALIFORNIA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,252
SFY2023-24,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,8
SFY2023-24,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,1013
SFY2023-24,1_CALIFORNIA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,22
SFY2023-24,1_CALIFORNIA,LONG-TERM CARE,SKILLED NURSING FACILITY,1188
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,125
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,327
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,9
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,10
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,766
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,21
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,432
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,3960
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,2890
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,14
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,3176
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,28
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,3
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,95
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,919
SFY2024-25,1_CALIFORNIA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,261
SFY2024-25,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,8
SFY2024-25,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,994
SFY2024-25,1_CALIFORNIA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,25
SFY2024-25,1_CALIFORNIA,LONG-TERM CARE,SKILLED NURSING FACILITY,1189
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,125
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,334
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,7
